Cluster,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
Mock_HK,GO:0048588,developmental cell growth,18/299,444/20876,7.99148691277925e-5,0.0012800399212925361,0.00108914447675551,AT4G12550/AT1G75750/AT1G37130/AT3G53420/AT4G15290/AT3G62680/AT2G32300/AT1G12040/AT1G79860/AT5G60660/AT5G05500/AT5G56540/AT2G06850/AT4G14880/AT1G31420/AT3G54870/AT5G49270/AT5G17820,18
Mock_HK,GO:0000097,sulfur amino acid biosynthetic process,14/299,298/20876,1.0923544982266121e-4,0.0017195166497946497,0.0014630809794759342,AT1G30380/AT3G53420/AT5G23010/AT3G19710/AT4G13770/AT3G56940/AT3G25900/AT5G23020/AT1G74470/AT4G14880/AT2G33990/AT1G31330/AT1G63970/AT4G08685,14
Mock_HK,GO:0000096,sulfur amino acid metabolic process,15/299,337/20876,1.1384084407114231e-4,0.0017616388243551343,0.001498921372426459,AT1G30380/AT3G53420/AT5G23010/AT3G19710/AT4G13770/AT3G56940/AT3G25900/AT5G23020/AT1G74470/AT4G14880/AT2G33990/AT1G80360/AT1G31330/AT1G63970/AT4G08685,15
Mock_HK,GO:0009414,response to water deprivation,17/299,418/20876,1.2116747142500167e-4,0.0018437650235171089,0.0015687998931868637,AT2G37170/AT2G37180/AT2G36830/AT3G23250/AT4G18950/AT3G53420/AT5G23010/AT3G61430/AT5G26340/AT5G39610/AT1G43160/AT1G10370/AT1G74950/AT2G39800/AT2G29130/AT5G40390/AT1G01560,17
Mock_HK,GO:0042435,indole-containing compound biosynthetic process,9/299,133/20876,1.2975996863947258e-4,0.0019395255372994904,0.0016502794103038262,AT1G75750/AT1G51800/AT5G23010/AT4G36670/AT3G19710/AT4G13770/AT5G23020/AT4G14880/AT1G80360,9
Mock_HK,GO:0016126,sterol biosynthetic process,10/299,164/20876,1.3170929168956013e-4,0.0019395255372994904,0.0016502794103038262,AT3G10720/AT5G65390/AT5G10430/AT5G45280/AT5G24140/AT1G12080/AT1G66180/AT2G06850/AT3G25540/AT3G50660,10
Mock_HK,GO:0009415,response to water,17/299,426/20876,1.519145042599476e-4,0.0022015546411005105,0.0018732314811001057,AT2G37170/AT2G37180/AT2G36830/AT3G23250/AT4G18950/AT3G53420/AT5G23010/AT3G61430/AT5G26340/AT5G39610/AT1G43160/AT1G10370/AT1G74950/AT2G39800/AT2G29130/AT5G40390/AT1G01560,17
Mock_HK,GO:0009751,response to salicylic acid,18/299,473/20876,1.7586478593425498e-4,0.002500210780383825,0.0021273483091292593,AT2G19190/AT1G76970/AT3G48920/AT5G24110/AT4G18950/AT1G76930/AT3G47380/AT5G64120/AT1G43160/AT5G08330/AT1G74710/AT2G40750/AT1G74950/AT5G06950/AT3G11440/AT4G25560/AT4G12480/AT1G01560,18
Mock_HK,GO:0016125,sterol metabolic process,10/299,171/20876,1.854305021176599e-4,0.002500210780383825,0.0021273483091292593,AT3G10720/AT5G65390/AT5G10430/AT5G45280/AT5G24140/AT1G12080/AT1G66180/AT2G06850/AT3G25540/AT3G50660,10
Mock_HK,GO:0016143,S-glycoside metabolic process,11/299,205/20876,1.9023391245369346e-4,0.002500210780383825,0.0021273483091292593,AT2G04160/AT1G47600/AT5G23010/AT5G14200/AT3G19710/AT4G13770/AT5G23020/AT1G16400/AT4G14880/AT2G31790/AT1G31420,11
Mock_HK,GO:0019757,glycosinolate metabolic process,11/299,205/20876,1.9023391245369346e-4,0.002500210780383825,0.0021273483091292593,AT2G04160/AT1G47600/AT5G23010/AT5G14200/AT3G19710/AT4G13770/AT5G23020/AT1G16400/AT4G14880/AT2G31790/AT1G31420,11
Mock_HK,GO:0019760,glucosinolate metabolic process,11/299,205/20876,1.9023391245369346e-4,0.002500210780383825,0.0021273483091292593,AT2G04160/AT1G47600/AT5G23010/AT5G14200/AT3G19710/AT4G13770/AT5G23020/AT1G16400/AT4G14880/AT2G31790/AT1G31420,11
Mock_HK,GO:0016144,S-glycoside biosynthetic process,10/299,172/20876,1.9443041117990316e-4,0.002500210780383825,0.0021273483091292593,AT2G04160/AT5G23010/AT5G14200/AT3G19710/AT4G13770/AT5G23020/AT1G16400/AT4G14880/AT2G31790/AT1G31420,10
Mock_HK,GO:0019758,glycosinolate biosynthetic process,10/299,172/20876,1.9443041117990316e-4,0.002500210780383825,0.0021273483091292593,AT2G04160/AT5G23010/AT5G14200/AT3G19710/AT4G13770/AT5G23020/AT1G16400/AT4G14880/AT2G31790/AT1G31420,10
Mock_HK,GO:0019761,glucosinolate biosynthetic process,10/299,172/20876,1.9443041117990316e-4,0.002500210780383825,0.0021273483091292593,AT2G04160/AT5G23010/AT5G14200/AT3G19710/AT4G13770/AT5G23020/AT1G16400/AT4G14880/AT2G31790/AT1G31420,10
Mock_HK,GO:0009850,auxin metabolic process,9/299,143/20876,2.244615783887459e-4,0.0028462975148461807,0.002421822293141732,AT1G75750/AT1G51800/AT5G23010/AT4G36670/AT3G19710/AT4G13770/AT5G23020/AT4G14880/AT1G80360,9
Mock_HK,GO:0042430,indole-containing compound metabolic process,9/299,147/20876,2.7575054892141706e-4,0.003448770563907586,0.0029344470815285623,AT1G75750/AT1G51800/AT5G23010/AT4G36670/AT3G19710/AT4G13770/AT5G23020/AT4G14880/AT1G80360,9
Mock_HK,GO:1901659,glycosyl compound biosynthetic process,10/299,181/20876,2.932775859648679e-4,0.003618411297107087,0.0030787888825330374,AT2G04160/AT5G23010/AT5G14200/AT3G19710/AT4G13770/AT5G23020/AT1G16400/AT4G14880/AT2G31790/AT1G31420,10
Mock_HK,GO:0016129,phytosteroid biosynthetic process,8/299,118/20876,3.021926366015441e-4,0.003630287858121181,0.0030888942633232625,AT1G12080/AT2G20520/AT5G53250/AT1G09540/AT3G50660/AT3G13730/AT4G14380/AT2G14100,8
